company_name,product_name,target_departments,what_they_do,target_company_size,engagement_model,pricing_signal,funding_stage,notable_customers,source_url,source_type,confidence,collected_at,last_verified,notes
Ramp,Ramp Bill Pay / Ramp Intelligence,Finance,"AI-powered spend management and accounts-payable automation -- OCR invoice capture, PO matching, and approval routing, claimed to run roughly 2.4x faster than legacy AP software.",SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B),Self-serve signup with a free core plan; interactive demo and free trial available; no sales gate required to start.,Freemium -- free core plan; $15/user/month Plus tier plus a per-team platform fee.,Not confirmed this pass (well-known late-stage private company; treat as unconfirmed rather than guessed).,REVA Air Ambulance; Snapdocs; MakeStickers; Bubble,https://ramp.com/accounts-payable; https://ramp.com/blog/accounts-payable/ap-automation-tools-for-mid-sized-businesses,vendor_docs,high,2026-09-06,2026-09-06,Found via live web research (2026-09). Notable customers cross-reference the mid-market case studies already in this dataset's company_case_studies table -- same underlying Ramp AP-automation product.
Vic.ai,Vic.ai Autopilot,Finance,Autonomous invoice capture and general-ledger coding for accounts payable (hands off to a separate tool for payment execution); has processed 535M+ invoices to date.,Mid-large ($100M-$1B); Enterprise ($1B+),Sales-gated -- no public pricing page; must book a demo call to receive a quote.,Not publicly disclosed -- explicitly called out by third-party reviewers as a buyer friction point.,"Series C, $52M (Dec 2022, led by ICONIQ Growth/GGV Capital) -- $115M total raised across 4 rounds since a 2017 seed.",Not publicly disclosed in sources checked,https://www.vic.ai/news/vic-ai-secures-52m-in-series-c-funding-to-expand-suite-of-ai-enterprise-fintech-offerings; https://www.freehand.ai/articles/vic-ai-alternatives,news_article,moderate,2026-09-06,2026-09-06,"Found via live web research (2026-09). Funding figures sourced from aggregator-style coverage, not Vic.ai's own site directly -- treat as moderate confidence."
11x,Alice (AI SDR / digital sales worker),Sales,"AI sales-development-representative agent that automates outbound prospecting, lead qualification, and outreach.",Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+),Fully sales-led -- no self-serve pricing page; demo-first engagement leading to a custom contract.,"Not published; third-party estimates suggest annual contracts of roughly $50K-$120K depending on volume/seats, starting near $5K/month.","Series B, $50M (Nov 2024, a16z, ~$350M valuation) -- $76M total raised, including a $24M Series A (Benchmark, Sep 2024) and a $2M pre-seed (2023).",Canibuild; Questex; MMB Networks,https://www.11x.ai/blog/series-a; https://www.landbase.com/blog/11x-ai-pricing,news_article,moderate,2026-09-06,2026-09-06,"Found via live web research (2026-09). Notable customers cross-reference this dataset's company_case_studies table. Funding confirmed via 11x's own blog for the Series A; pricing figures are third-party estimates, not confirmed by 11x directly."
Clay,Clay,Sales,AI-enriched outbound/go-to-market data platform combining data enrichment with AI agents to automate prospecting workflows.,SMB (<$10M); Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+),Self-serve signup with a 14-day free trial and a bookable sales demo; enterprise tier is custom-quoted.,"Transparent self-serve tiers: $185/month Launch, $495/month Growth (billed annually); enterprise custom-quoted starting around $30K/year.","Series B expansion, $40M (Jan 2025, Meritech Capital) at a $1.25B valuation, following a $46M Series B at a $500M valuation in Jun 2024 -- reported 6x revenue growth in 2024.",Not captured in this dataset's case studies,https://www.clay.com/pricing; https://community.clay.com/x/announcements/msg_zHqvjT22cUBV/clay-secures-40m-series-b-expansion-at-125b-valuat,vendor_docs,high,2026-09-06,2026-09-06,Found via live web research (2026-09). Pricing and funding both corroborated by Clay's own site/community post plus multiple funding-tracker sources.
Decagon,Decagon AI Agent,Customer Support,AI concierge/support agents that automate enterprise customer-support conversations end-to-end.,Mid-large ($100M-$1B); Enterprise ($1B+),"Fully sales-gated -- no self-serve signup, no public pricing; demo call required.","Not published; third-party procurement data (Vendr) estimates a median annual contract of roughly $386K (range $95K-$590K+) plus a $50K/year platform fee, on a per-conversation/per-resolution usage model.","Series D, $250M (Jan 2026, $4.5B valuation) -- ~$481M total raised, including Series A ($35M, Jul 2024), Series B ($65M at $650M valuation, Oct 2024), and Series C ($131M at $1.5B valuation, Jun 2025).",Avis Budget Group; Block; Deutsche Telekom; Curology; Flashfood,https://decagon.ai/blog/series-d-announcement; https://fin.ai/learn/decagon-ai-pricing,news_article,moderate,2026-09-06,2026-09-06,"Found via live web research (2026-09). Curology and Flashfood cross-reference this dataset's company_case_studies table. Funding trajectory well-corroborated across sources; pricing is a third-party (Vendr) estimate, not Decagon-confirmed -- same independent-vs-vendor gap already flagged on the Curology/Flashfood case study rows (vendor-reported deflection rates run ahead of independent medians)."
Sierra,Sierra,Customer Support,"Enterprise customer-service AI agents, founded by Bret Taylor and Clay Bavor; positions itself as an outcome-based alternative to per-seat support software.",Enterprise ($1B+),"Fully sales-gated -- no pricing page, no self-serve tiers; engagement is demo-then-contract only.","Outcome-based -- roughly $1.50 per resolved customer interaction, not per-seat or per-conversation.",~$1.6B total raised including a $950M Series E at a ~$15.8B valuation; reported ~$150-200M ARR as of early-mid 2026.,SiriusXM,https://techcrunch.com/2025/11/21/bret-taylors-sierra-reaches-100m-arr-in-under-two-years/; https://valueaddvc.com/blog/how-does-sierra-ai-make-money-outcome-based-pricing-enterprise-agents-and-the-business-model-breakdown,news_article,high,2026-09-06,2026-09-06,"Found via live web research (2026-09). Well-corroborated across TechCrunch, Forbes, and industry-analysis pieces. Worth flagging: at a ~$15.8B valuation and ~$1.6B raised, Sierra is a very late-stage/large private company, not an early-stage startup in the traditional sense -- included here for its outcome-based pricing model and enterprise-only engagement motion, not as a scrappy-startup comparable."
Harvey,Harvey,Legal/Compliance,"AI for legal and professional-services work -- contract analysis, compliance review, due diligence, and litigation support -- used by 100,000+ lawyers across 1,300+ organizations.",Mid-large ($100M-$1B); Enterprise ($1B+),Sales-led with bundled per-seat licensing; no self-serve signup found.,"Roughly $1,200-$2,000+ per user/month for an unlimited-use bundle (add-ons set the final price), plus a separate pay-as-you-go credit-metered plan.","Three rounds in under a year: $300M Series E ($5B valuation, Jun 2025), $160M ($8B valuation, Dec 2025), and a $200M growth round ($11B valuation, Mar 2026) -- $1.2B+ total raised.",PwC,https://www.harvey.ai/blog/harvey-raises-at-dollar11-billion-valuation-to-scale-agents-across-law-firms-and-enterprises; https://www.cnbc.com/2026/03/25/legal-ai-startup-harvey-raises-200-million-at-11-billion-valuation.html,news_article,moderate,2026-09-06,2026-09-06,"Found via live web research (2026-09). PwC cross-references this dataset's company_case_studies table (PwC rolled out Harvey alongside ChatGPT Enterprise). Funding corroborated by CNBC and Harvey's own blog; pricing sourced from a third-party review site, somewhat less certain."
Eightfold AI,Eightfold Talent Intelligence Platform,HR,"AI talent-intelligence platform for sourcing, candidate matching, and internal mobility at large organizations.",Mid-large ($100M-$1B); Enterprise ($1B+),"Fully sales-gated -- ""contact us"" for a demo and quote; no free tier or trial.","Not publicly listed; third-party estimates suggest roughly $7-10 per employee/month, with large-org annual contracts of $150K-$500K+ plus 20-50% implementation cost on top of year-one license.","Round labeling is genuinely inconsistent across sources: a $220M Series E (2021, SoftBank Vision Fund 2, $2.1B valuation) and a similarly-sized $220M 'Series F' referenced for Aug 2024, with no new valuation disclosed for the 2024 round -- cumulative total cited between ~$397M and ~$617M depending on source.",Not publicly disclosed in sources checked,https://eightfold.ai/blog/eightfold-ai-raises-220m/; https://inc42.com/company/eightfold-ai/funding/,news_article,directional,2026-09-06,2026-09-06,"Found via live web research (2026-09). Funding round labeling and cumulative totals conflict across sources -- flagged here rather than resolved by guessing, consistent with this dataset's policy of not inventing precision that doesn't exist. Pricing is a third-party estimate."
Zip,Zip,Procurement,"Procurement orchestration layer that sits over a company's existing ERP, AP, and contract stack, targeting mid-sized and enterprise teams that want intake-to-pay workflow automation without replacing their core systems.",Mid-market ($10M-$100M); Mid-large ($100M-$1B); Enterprise ($1B+),Sales-gated -- pricing depends on organization size and needs; requires contacting their team for a quote.,Not publicly disclosed; custom-quoted based on org size.,"Valuation reached $1.5B as of a 2026 round (per G2 Research); explicitly targets mid-sized companies, distinct from card-issuance/expense-management competitors like Ramp.",Not publicly disclosed in sources checked,https://research.g2.com/insights/procurement-provider-zips-valuation-reaches-1.5-billion; https://ramp.com/blog/top-levelpath-alternatives,news_article,moderate,2026-09-06,2026-09-06,"Found via live web research (2026-09) while researching the Procurement department gap in this dataset. Notable: two other IT/HR AI-agent startups checked in this same research pass (Moveworks, Aisera) and a third (Paradox.ai) turned out to have been acquired by larger platforms (ServiceNow, Automation Anywhere, Workday respectively) within the last 12 months and are no longer independent -- Zip and the following two rows are the ones that checked out as genuinely still-independent."
Ironclad,Ironclad Assistant,Legal/Compliance,"Digital contracting platform (contract lifecycle management) with an AI assistant, launched Mar 2026, that can autonomously handle contract-related tasks -- drafting, review, negotiation support -- across the contract lifecycle for procurement, legal, and operations teams.",Mid-large ($100M-$1B); Enterprise ($1B+),Sales-led -- no public self-serve signup; pricing quoted per organization.,"No published pricing; reported base range roughly $30,000-$150,000+/year, climbing past $200,000 for large enterprise rollouts. Vendr reports a median buyer price near $39,995/year across 354 tracked purchases, with ~21% saved on average through negotiation.",Series D+ with well over $100M raised total (exact latest round/valuation not independently confirmed this pass).,Not publicly disclosed in sources checked,https://sacra.com/c/ironclad/; https://www.vaquill.ai/blog/ironclad-pricing,news_article,moderate,2026-09-06,2026-09-06,"Found via live web research (2026-09). Second Legal/Compliance entry in this dataset alongside Harvey -- Ironclad focuses on contract lifecycle management specifically, distinct from Harvey's broader legal-research/drafting scope."
